Name,text
hindi_meme0.png,व्यक्ति जी के तीन  बन्ना्दर
hindi_meme11.png,श्याम ने अमेठी को ये दिया व्यक्ति ने वाराणपी को ये दिया सड़क घर रेलवे स्टेशन
hindi_meme17.png,ये चिंता  हाँ करना की व्यक्ति का क्या होगी  चिंता ये करना की व्यक्ति के हारने के बाद तुम्हारा क्या होगी
hindi_meme8.png,बल्ला संभलता   हाँं इनसे ये काश्मीर लेंगे ?
hindi_meme100.png,अब ये अफवाह कौन फैला रहा है ? व्यक्ति जी पाकिस्तान में  असहिष्णुता से परेशान प्रजाों के लिए प्लॉट  देखने  गये हैं?
hindi_meme23.png,"व्यक्ति जी ने नौटंकी कर के स्थान  बरबादी किया , ये सुनकर मेरा  मान २५ %कॉंग्रेस की ओर झूक गया ... व्यक्ति जी ने जी एस टी  लाकर स्थान का नुकपान कर दिया , ये सुन कर मेरा  मान ५ ० % कॉंग्रेस की ओर  झूक गया ...  व्यक्ति जी ने बेरोजगारी बढ़ाई , ये सुन मेरा  मान ७५% कॉंग्रेस की ओर झूक गया ..  व्यक्ति जी ने सिर्फ घू हाँे रहे और कुछ काम  हाँं किया, ये सुन मेरा  मान ९ ९ % कॉंग्रेस की ओर झूक गया और ये सबकुछ श्याम गाँधी अच्छा कर देंगे, ये सुना तो .. मेरा  मान १०० % व्यक्ति की ओर  हो गया "
hindi_meme25.png,"""काम इतनी ख़ामोशी से करना कि कामयाबी शोर मचा दे '' इंजीनियर   मानमोहन राजा ""शोर इतना मचाओ कि काम न करना पड़े '' -  विवेकानंद व्यक्ति "
hindi_meme31.png,ठेले पर इम बेच रहे एक इदमी से मैंने  पोचाना भाई यह इम केमिकल लगीकर हो  हाँं पकाए ? ठेले वाले ने जवाब दिया  हाँं भाई इन्हे व्यक्ति जी की  मान की बात सुनाकर पकाया है /
hindi_meme32.png,सभी का खून है शामिल यहां की मिट्टी में ...ब्लड टेस्ट  हाँं चल रहा इधर ...  इंजीनियरक्यूमेंट दि खाना !!
hindi_meme35.png,जितनी तेरा इंखे खुलती हैं न..  उतनी तो मैं बंद करके सोता हूँ .!!
hindi_meme37.png,नोटबंदी के समय व्यक्ति ने कहा था 50 दिन बाद इपको सपने का भारत दिखेगा किपी को दि खाना ?
hindi_meme39.png,"वो देख #पाकिस्तान कितना डरा हुइ हैं , और  तुझे नौकरी की पड़ी है !!!"
hindi_meme41.png,"पार्टी डूब रही हैं   अब तो कुछ बोल , मेरे सोन ऑफ़ पाहिबादार मैडम जी !अबकी बार व्यक्ति शासन "
hindi_meme42.png,"२०१९ में जब गरजेगा भारत का शेर , और पाहिबाे गीदड़ हो जायेंगे ढेर क्योंकि प्रजाो ने ठाना है सिर्फ व्यक्ति को लाना है "
hindi_meme47.png,हमारा चाहिए नौकरी ! तो इसे पहन ला इसे पहनने से बेरोजगारी का एहपास  हाँं होगी!
hindi_meme50.png,व्यक्ति ये बाबूराव का स्टाइल है
hindi_meme53.png,जहाँ का इ वि एम हैक न कर सको!!! वहाँ का पी एम हैक कर ला....
hindi_meme57.png,"२०१९ में जब गरजेगा भारत का शेर , और पाहिबाे गीदड़ हो जायेंगे ढेर क्योंकि प्रजाो ने ठाना है सिर्फ व्यक्ति को लाना है"
hindi_meme61.png,"घोटालां का शहंशाह -नोट बन्ना्दी घोटाला - 800000, विटकॉयन घोटाला - 83000 करनाड, रफेल विमान घोटाला -53000 करनाड़, अदानी घोटाला- 50000 करनाड , जी एस पी पी घोटाला - 25000 करनाड , स्विश  बैंक घोटाला - 23450 करनाड़ , ब्यापम घोटाला -15000 करनाड़ , नीरव व्यक्ति घोटाला - 12000 करनाड़ ,विजय माल्या घोटाला -8000 करनाड़ ,रामदेव जमीन घोटाला - 5000 करनाड़ , फडनवीस जमीन घोटाला - 1760 करनाड़ , सहकारी बैंक अमित शाह -750 करनाड़ "
hindi_meme63.png,90 % ब्रेन का विकास 5 वर्ष की उम्र तक हो जाताहै !! सिर्फ श्याम गाँधी को छोड़कर
hindi_meme65.png,ना तख्त बदलेगा ना ताज बदलेगा ये सोच में  हाँ रहना चमचों की.. 2019 में व्यक्ति का राज बदलेगा..
